lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp
90.95744681,-1.452,1.452,2020,october,2020_october,2,Angiosperm,CECO
102.1890128,-3.62,3.62,2020,october,2020_october,1,Gymnosperm,ABCO
120.8792966,-2.509,2.509,2020,october,2020_october,1,Gymnosperm,ABCO
136.1752988,-3.01,3.01,2020,october,2020_october,1,Gymnosperm,ABCO
143.9111262,-2.187,2.187,2020,october,2020_october,1,Gymnosperm,ABCO
187.3278237,-0.208,0.208,2020,october,2020_october,1,Gymnosperm,ABCO
182.6067812,-0.698,0.698,2020,october,2020_october,1,Gymnosperm,ABCO
107.9230334,-2.498,2.498,2020,october,2020_october,9,Angiosperm,QUKE
131.6494845,-1.885,1.885,2020,october,2020_october,9,Angiosperm,QUKE
115.021628,-3.02,3.02,2020,october,2020_october,5,Gymnosperm,ABCO
113.2509826,-3.224,3.224,2020,october,2020_october,5,Gymnosperm,ABCO
128.7169043,-2.94,2.94,2020,october,2020_october,5,Gymnosperm,ABCO
132.0783711,-1.517,1.517,2020,october,2020_october,5,Gymnosperm,ABCO
146.7383247,-2.518,2.518,2020,october,2020_october,5,Gymnosperm,ABCO
146.8852459,-2.637,2.637,2020,october,2020_october,5,Gymnosperm,ABCO
177.1719375,-1.083,1.083,2020,october,2020_october,5,Gymnosperm,ABCO
181.1521812,-0.179,0.179,2020,october,2020_october,5,Gymnosperm,ABCO
102.022792,-3.528,3.528,2020,october,2020_october,3,Gymnosperm,CADE
119.1923916,-2.091,2.091,2020,october,2020_october,3,Gymnosperm,CADE
123.1968811,-1.38,1.38,2020,october,2020_october,3,Gymnosperm,CADE
132.1054123,-0.682,0.682,2020,october,2020_october,3,Gymnosperm,CADE
133.2118267,-1.802,1.802,2020,october,2020_october,3,Gymnosperm,CADE
71.19629484,-6.316,6.316,2020,october,2020_october,3,Gymnosperm,CADE
86.6773492,-3.416,3.416,2020,october,2020_october,3,Gymnosperm,CADE
95.37712895,-2.661,2.661,2020,october,2020_october,3,Gymnosperm,CADE
90.77726218,-5.176,5.176,2020,october,2020_october,3,Gymnosperm,CADE
102.2511432,-3.037,3.037,2020,october,2020_october,7,Gymnosperm,CADE
127.8910007,-1.768,1.768,2020,october,2020_october,7,Gymnosperm,CADE
122.2691045,-2.192,2.192,2020,october,2020_october,7,Gymnosperm,CADE
132.3929636535067,-0.789,0.789,2020,october,2020_october,7,Gymnosperm,CADE
151.0759919,-0.18,0.18,2020,october,2020_october,7,Gymnosperm,CADE
