individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_QUKE_1.2,2021_August,6.8473,QUKE,HP,90.19548416,70.25440674758724,1,-3.58,0.9019548416000001,1.2838409480000001,7.4425,1,1.2
2021_August_ABCO_1.2,2021_August,13.8703,ABCO,HP,113.4798408,69.34304068500188,1,-3.46,1.134798408,1.636499347,15.8377,1,1.2
2021_August_ARPA_1.2,2021_August,14.0033,ARPA,HP,67.0212766,43.12483447411897,1,-5.25,0.6702127659999999,1.554122524,15.2696,1,1.2
2021_August_CADE_1.2,2021_August,15.0295,CADE,HP,77.04952956,68.6620715072263,1,-3.52,0.7704952956,1.122155622,17.1996,1,1.2
2021_August_CECO_1.2,2021_August,7.8461,CECO,HP,91.49804178,64.64097986428744,1,-3.4,0.9149804178,1.4154804269999999,8.4068,1,1.2
2021_August_PIJE_1.2,2021_August,16.8009,PIJE,HP,76.17929061,51.51110342012116,1,-3.35,0.7617929061,1.4788906769999999,20.3683,1,1.2
2021_August_QUKE_1.2,2021_August,13.4446,QUKE,HP,85.10328276,66.28802648223368,1,-3.72,0.8510328276,1.2838409480000001,14.4375,1,1.2
2021_August_CECO_1.3,2021_August,13.4955,CECO,HP,154.7234574,100,1,-0.27,1.547234574,1.547234574,15.4789,1,1.3
2021_August_PIJE_1.3,2021_August,17.021,PIJE,HP,144.9150641,93.27328876472838,1,-0.37,1.449150641,1.553660925,24.1272,1,1.3
2021_August_QUKE_1.3,2021_August,7.8888,QUKE,HP,146.8228404,98.85588810899881,1,-0.73,1.468228404,1.485220994,8.8916,1,1.3
2021_August_ABCO_1.3,2021_August,14.0139,ABCO,HP,92.94380066,47.91747628801611,1,-4.37,0.9294380066,1.939663936,15.7223,1,1.3
2021_August_ARPA_1.3,2021_August,13.9572,ARPA,HP,74.62133776,47.52834163659871,1,-4.64,0.7462133776000001,1.570038743,15.3071,1,1.3
2021_August_CADE_1.3,2021_August,13.6341,CADE,HP,81.1805608,63.209855270574586,1,-3.79,0.8118056079999999,1.2843022730000002,14.7082,1,1.3
2021_August_CECO_1.3,2021_August,8.1652,CECO,HP,61.56560088,39.79073497616916,1,-7.56,0.6156560087999999,1.547234574,8.7236,1,1.3
2021_August_PIJE_1.3,2021_August,17.9234,PIJE,HP,93.66510459,60.28670933459951,1,-3.38,0.9366510459,1.553660925,23.4399,1,1.3
2021_August_QUKE_1.3,2021_August,13.425,QUKE,HP,48.23085847,32.47385989347252,1,-8.66,0.4823085847,1.485220994,14.0902,1,1.3
2021_August_ABCO_1.3,2021_August,13.4467,ABCO,HP,105.3002674,54.28789258058361,1,-3.97,1.053002674,1.939663936,14.746,1,1.3
2021_August_ARPA_1.3,2021_August,13.9168,ARPA,HP,62.35839643,39.7177437232197,1,-6.41,0.6235839643,1.570038743,14.9792,1,1.3
2021_August_CADE_1.3,2021_August,7.2344,CADE,HP,71.8626791,55.95464604460758,1,-5.22,0.7186267909999999,1.2843022730000002,7.9817,1,1.3
2021_August_PIJE_1.3,2021_August,16.5972,PIJE,HP,98.64357542,63.491057690081256,1,-3.51,0.9864357542000001,1.553660925,21.0115,1,1.3
2021_August_QUKE_1.3,2021_August,13.3662,QUKE,HP,64.72906404,43.582109532179146,1,-6.22,0.6472906404,1.485220994,14.1546,1,1.3
2021_August_ARPA_1.3,2021_August,8.3071,ARPA,HP,72.05919878,45.89644625094452,1,-5.06,0.7205919878,1.570038743,9.1543,1,1.3
2021_August_CADE_1.3,2021_August,10.0834,CADE,HP,72.61498516,56.540416291858406,1,-5.36,0.7261498516,1.2843022730000002,12.0411,1,1.3
2021_August_PIJE_1.3,2021_August,18.2111,PIJE,HP,80.67031664,51.92272994829936,1,-3.71,0.8067031664,1.553660925,23.1766,1,1.3
2021_August_ARPA_1.3,2021_August,13.2119,ARPA,HP,60.10968921,38.285481474898866,1,-6.13,0.6010968921,1.570038743,13.8695,1,1.3
2021_August_ARPA_1.3,2021_August,14.5665,ARPA,HP,68.6556672,43.728645236367896,1,-5.56,0.6865566719999999,1.570038743,16.2268,1,1.3
2021_August_CADE_1.3,2021_August,14.5194,CADE,HP,72.99382716,56.83539513598601,1,-4.96,0.7299382715999999,1.2843022730000002,16.2222,1,1.3
2021_August_ABCO_1.3,2021_August,13.8715,ABCO,HP,193.9663936,100,1,-0.8,1.939663936,1.939663936,17.1152,1,1.3
2021_August_CECO_1.3,2021_August,6.6858,CECO,HP,113.2055822,73.16639900783395,1,-1.14,1.1320558219999999,1.547234574,7.2293,1,1.3
2021_August_PIJE_1.3,2021_August,13.9896,PIJE,HP,155.3660925,100,1,-0.52,1.553660925,1.553660925,16.6866,1,1.3
2021_August_QUKE_1.3,2021_August,7.443,QUKE,HP,106.5507152,71.74064710264928,1,-2.43,1.065507152,1.485220994,8.754,1,1.3
2021_August_ABCO_1.3,2021_August,8.1006,ABCO,HP,174.6721311,90.05278072046393,1,-2.32,1.746721311,1.939663936,9.5923,1,1.3
2021_August_CECO_1.3,2021_August,7.562,CECO,HP,80.59440559,52.08932565515434,1,-4.77,0.8059440559,1.547234574,7.8847,1,1.3
2021_August_PIJE_1.3,2021_August,15.7026,PIJE,HP,99.64911341,64.1382632507154,1,-1.1,0.9964911341,1.553660925,19.4229,1,1.3
2021_August_QUKE_1.3,2021_August,8.0709,QUKE,HP,92.43262753,62.234931975382516,1,-3.57,0.9243262753,1.485220994,8.8392,1,1.3
2021_August_ABCO_1.3,2021_August,8.1117,ABCO,HP,177.6659292,91.59624298958971,1,-0.44,1.776659292,1.939663936,9.7178,1,1.3
2021_August_ARPA_1.3,2021_August,15.1187,ARPA,HP,120.5217099,76.76352601956141,1,-1.12,1.205217099,1.570038743,18.6994,1,1.3
2021_August_CADE_1.3,2021_August,15.029,CADE,HP,108.2895505,84.31780646704499,1,-2.22,1.082895505,1.2843022730000002,18.1825,1,1.3
2021_August_CECO_1.3,2021_August,8.0013,CECO,HP,108.8945041,70.38008711147118,1,-2.46,1.0889450410000001,1.547234574,8.8632,1,1.3
2021_August_PIJE_1.3,2021_August,17.0831,PIJE,HP,98.34173896,63.29678334415214,1,-1.93,0.9834173896,1.553660925,21.9579,1,1.3
2021_August_QUKE_1.3,2021_August,6.9102,QUKE,HP,46.630558,31.396376827676324,1,-10,0.46630558,1.485220994,7.2804,1,1.3
2021_August_ABCO_1.3,2021_August,8.7871,ABCO,HP,152.7032209,78.72663819017357,1,-2.61,1.527032209,1.939663936,11.1766,1,1.3
2021_August_ARPA_1.3,2021_August,8.3037,ARPA,HP,122.8486141,78.24559403245249,1,-2.03,1.228486141,1.570038743,9.7441,1,1.3
2021_August_CADE_1.3,2021_August,8.716,CADE,HP,106.9399767,83.2669839088574,1,-2.98,1.069399767,1.2843022730000002,10.2785,1,1.3
2021_August_CECO_1.3,2021_August,6.5952,CECO,HP,69.40598481,44.858088085872886,1,-6.43,0.6940598481000001,1.547234574,6.906,1,1.3
2021_August_PIJE_1.3,2021_August,16.0998,PIJE,HP,126.8809009,81.66576043611317,1,-2.53,1.268809009,1.553660925,21.2603,1,1.3
2021_August_QUKE_1.3,2021_August,8.5488,QUKE,HP,37.97507073,25.568633141742403,1,-7.57,0.3797507073,1.485220994,9.0454,1,1.3
2021_August_ABCO_1.3,2021_August,13.0797,ABCO,HP,136.9865662,70.62386615410063,1,-3.31,1.369865662,1.939663936,14.4971,1,1.3
2021_August_ARPA_1.3,2021_August,7.8928,ARPA,HP,113.1455399,72.0654445022189,1,-3.31,1.131455399,1.570038743,8.7604,1,1.3
2021_August_CADE_1.3,2021_August,7.3101,CADE,HP,128.4302273,100,1,-0.25,1.2843022730000002,1.2843022730000002,8.7394,1,1.3
2021_August_CECO_1.3,2021_August,8.4557,CECO,HP,72.91033122,47.1229976664159,1,-4.68,0.7291033122,1.547234574,9.3428,1,1.3
2021_August_PIJE_1.3,2021_August,17.6482,PIJE,HP,105.4851238,67.89455929710016,1,-2.29,1.054851238,1.553660925,23.406,1,1.3
2021_August_QUKE_1.3,2021_August,6.8795,QUKE,HP,148.5220994,100,1,-1.35,1.485220994,1.485220994,7.9548,1,1.3
