individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_2.5,2020_October,7.6277,ARPA,EPI,110.7422338,99.20708202515367,-0.11,-2.164,1.107422338,1.116273471,8.0947,2,2.5
2020_October_ARPA_2.5,2020_October,7.6426,ARPA,EPI,111.6273471,100,-0.11,-0.11,1.116273471,1.116273471,8.1063,2,2.5
2020_October_ARPA_2.5,2020_October,12.6968,ARPA,EPI,79.76852882,71.4596654783351,-0.11,-4.637,0.7976852882,1.116273471,13.0552,2,2.5
2020_October_PIJE_1.1,2020_October,13.4437,PIJE,HP,125.5875249322385,73.85687467903274,-0.059,-3.164,1.255875249322385,1.7004175369999999,8.0849,1,1.1
2020_October_PIJE_1.1,2020_October,12.4585,PIJE,HP,96.41509434,56.70083508436552,-0.059,-3.31,0.9641509434,1.7004175369999999,12.7651,1,1.1
2020_October_PIJE_1.1,2020_October,12.5034,PIJE,HP,149.3767591,87.84710569589944,-0.059,-2.039,1.493767591,1.7004175369999999,12.8749,1,1.1
2020_October_PIJE_1.1,2020_October,7.361,PIJE,HP,106.4362336,62.59417542104542,-0.059,-3.804,1.0643623359999999,1.7004175369999999,7.5396,1,1.1
2020_October_PIJE_1.1,2020_October,12.8318,PIJE,HP,138.7149918,81.57701786864129,-0.059,-0.059,1.387149918,1.7004175369999999,13.8422,1,1.1
2020_October_PIJE_1.1,2020_October,7.5806,PIJE,HP,119.6867322,70.38667244702734,-0.059,-2.587,1.196867322,1.7004175369999999,7.9703,1,1.1
2020_October_PIJE_1.1,2020_October,12.5846,PIJE,HP,170.0417537,100,-0.059,-1.014,1.7004175369999999,1.7004175369999999,13.2362,1,1.1
2020_October_PIJE_1.1,2020_October,7.4009,PIJE,HP,131.6837658,77.44201817179919,-0.059,-3.609,1.316837658,1.7004175369999999,7.6191,1,1.1
2020_October_PIJE_1.1,2020_October,12.8318,PIJE,EPI,138.7149918,81.57701786864129,-0.059,-0.059,1.387149918,1.7004175369999999,13.8422,1,1.1
2020_October_PIJE_1.1,2020_October,12.5846,PIJE,EPI,170.0417537,100,-0.059,-1.014,1.7004175369999999,1.7004175369999999,13.2362,1,1.1
2020_October_PIJE_1.1,2020_October,12.5034,PIJE,EPI,149.3767591,87.84710569589944,-0.059,-2.039,1.493767591,1.7004175369999999,12.8749,1,1.1
2020_October_PIJE_1.1,2020_October,7.2952,PIJE,HP,137.5366569,80.88404989203542,-0.059,-2.891,1.3753665689999999,1.7004175369999999,7.5297,1,1.1
2020_October_PIJE_1.1,2020_October,12.4437,PIJE,EPI,125.5875249322385,73.85687467903274,-0.059,-3.164,1.255875249322385,1.7004175369999999,13.133199999999999,1,1.1
2020_October_PIJE_1.2,2020_October,12.401,PIJE,EPI,141.1518325,80.92737693035906,-0.512,-2.906,1.411518325,1.744179014,12.8054,1,1.2
