date,site,pod,bottle #,spp,spp,new/old,wet weight,dry weight,bottle weight,lfm,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,LFMtlp,Mpatlp,notes
5/15/21,1,1.2,,CECO,CECO,new,12.938,12.4646,12.261,232.5147348,-0.65,-0.59,,-1.07,-1.11,,-0.62,-1.09,shrub,135,CZO,350.9901204,-2.37890626,
5/15/21,1,1.2,4,CECO,CECO,old,74.7054,70.4334,67.0771,127.28302,-0.65,-0.59,,-1.07,-1.11,,-0.62,-1.09,shrub,135,CZO,350.9901204,-2.37890626,
5/15/21,1,1.2,98,PIJE,PIJE,new,75.4759,71.3997,67.2158,97.4258467,0,0,,-1.85,-1.87,,0,-1.86,tree,135,CZO,153.68,-2.474,old PIJE 2 -- getting rid of this plant (not going to sample)
5/15/21,1,1.2,89,PIJE,PIJE,new,75.7282,71.0948,66.0909,92.5957753,-0.87,-0.95,,0,0,,,,tree,135,CZO,153.68,-2.474,new PIJE 2
5/15/21,1,1.2,97,PIJE,PIJE,old,80.6089,74.5821,67.177,81.3871521,0,0,,-1.85,-1.87,,0,-1.86,tree,135,CZO,153.68,-2.474,old PIJE 2 -- getting rid of this plant (not going to sample)
5/15/21,1,1.2,90,PIJE,PIJE,old,77.8249,73.0992,66.964,77.02601382,-0.87,-0.95,,0,0,,,,tree,135,CZO,153.68,-2.474,new PIJE 2
5/15/21,1,1.3,56,ABCO,ABCO,new,76.5476,71.3277,67.0473,121.9488833,-0.38,-0.48,,-0.77,-0.82,,-0.43,-0.795,tree,135,CZO,165.7,-2.173,
5/15/21,1,1.3,8,ABCO,ABCO,old,90.7444,78.4647,66.258,100.5980322,-0.38,-0.48,,-0.77,-0.82,,-0.43,-0.795,tree,135,CZO,165.7,-2.173,
5/15/21,1,1.3,7,ARPA,ARPA,old,88.489,78.234,66.8941,90.43289623,-0.74,-0.77,,-1.2,-1.14,,-0.755,-1.17,shrub,135,CZO,108.3036245,-2.378742269,
5/15/21,1,1.3,,CADE,CADE,new,16.3925,14.2613,12.1183,99.44937004,-0.54,-0.56,,-1.57,-1.62,,-0.55,-1.595,tree,135,CZO,123.2700516,-2.626049161,
5/15/21,1,1.3,39,CADE,CADE,old,83.5274,75.9411,67.0389,85.21826065,-0.54,-0.56,,-1.57,-1.62,,-0.55,-1.595,tree,135,CZO,123.2700516,-2.626049161,
5/15/21,1,1.3,,CECO,CECO,new,12.9478,12.3975,12.1157,195.2803407,-0.55,-0.75,-0.62,-1.67,-1.77,,-0.64,-1.72,shrub,135,CZO,350.9901204,-2.37890626,
5/15/21,1,1.3,9,CECO,CECO,old,74.0204,70.5683,67.4201,109.6531351,-0.55,-0.75,-0.62,-1.67,-1.77,,-0.64,-1.72,shrub,135,CZO,350.9901204,-2.37890626,
